token	freq	candidates	local_verdict	local_value	sonnet_verdict	sonnet_value	agree
proeceding	38	preceding,proceeding	FIX	proceeding	FIX	proceeding	Y
secunty	38	security,seventy	FIX	security	FIX	security	Y
twentv-five	38		GARBAGE		FIX	twenty-five	N
trar	38	tear,trap	GARBAGE		FIX	registrar	N
sucli	38	sulci	GARBAGE		FIX	such	N
appropriaotherwise	38		GARBAGE		FIX	appropriation otherwise	N
milias	38	milia	KEEP	milias	FIX	milia	N
culy	38	july,duly	FIX	july	FIX	july	Y
nonhandicapped	38		KEEP	nonhandicapped	KEEP	nonhandicapped	Y
nonpromotional	38		KEEP	nonpromotional	KEEP	nonpromotional	Y
nonsmall	38		KEEP	nonsmall	KEEP	nonsmall	Y
selpas	38	salpas	GARBAGE		FIX	salpas	N
twonty-five	37		FIX	twenty-five	FIX	twenty-five	Y
limita	37	limit,limits	FIX	limits	FIX	limitation	Y
polico	37	policy,police	FIX	police	FIX	police	Y
incumbrancers	37	encumbrances,encumbrancer	FIX	encumbrances	KEEP	incumbrancers	N
cerns	37	ferns,terns	GARBAGE		FIX	concerns	N
ional	37	tonal,ronal	GARBAGE		FIX	tional	N
eeeeeeees	37		GARBAGE		GARBAGE		Y
drawal	37	drawl	FIX	drawl	FIX	withdrawal	Y
saie	37	said,same	FIX	said	FIX	sale	Y
setoffs	37	stuffs,staffs	FIX	setoffs	KEEP	setoffs	N
sisting	37	listing,sitting	FIX	sitting	FIX	consisting	Y
obliga	37	oblige	FIX	oblige	FIX	obligation	Y
meorporated	37		GARBAGE		FIX	incorporated	N
pupus	37	lupus,pups	GARBAGE		FIX	lupus	N
wuheereeas	37		GARBAGE		FIX	whereas	N
counhes	37	couches	FIX	couches	FIX	counties	Y
subdistributor	37		KEEP	subdistributor	KEEP	subdistributor	Y
neeee	37	need,needs	FIX	need	GARBAGE		N
shobi-zue	37		GARBAGE		KEEP	shobi-zue	N
ticular	36	titular	FIX	titular	FIX	particular	Y
clate	36	plate,late	FIX	plate	FIX	date	Y
lishing	36	fishing,listing	FIX	listing	FIX	establishing	Y
viving	36	giving,living	FIX	living	FIX	reviving	Y
srcrron	36	sharron,scarron	GARBAGE		NAME	Sharron	N
dupheate	36	upheave	FIX	upheave	FIX	duplicate	Y
cightcon	36		GARBAGE		FIX	eighteen	N
ereating	36	creating,treating	FIX	creating	FIX	creating	Y
douars	36	douras	GARBAGE		FIX	dollars	N
uary	36	vary,nary	KEEP	uary	FIX	january	N
paranzella	36	tarantella	FIX	tarantella	NAME	Paranzella	N
pandalus	36	pandanus,pandarus	NAME	pandanus	KEEP	pandalus	N
inholding	36	infolding	FIX	infolding	KEEP	inholding	N
stiern	36	stern	FIX	stern	NAME	Stiern	N
pohcy	36	poncy	GARBAGE		FIX	policy	N
prelicensing	36		FIX	prelicensing	KEEP	prelicensing	N
safco	36	sacco	NAME	sacco	NAME	SAFCO	Y
rected	35	erected,rented	FIX	erected	FIX	directed	Y
actentitled	35		GARBAGE		FIX	act entitled	N
ottice	35	office,notice	FIX	office	FIX	office	Y
niust	35	first,must	FIX	first	FIX	must	Y
cccceee	35		GARBAGE		GARBAGE		Y
acknowl	35		GARBAGE		FIX	acknowledge	N
dcem	35	deem,diem	FIX	deem	FIX	deem	Y
venience	35	lenience	FIX	lenience	FIX	convenience	Y
mumber	35	member,number	FIX	member	FIX	number	Y
sattley	35	cattle,settle	NAME	sattley	NAME	Sattley	Y
erties	35	reties	GARBAGE		FIX	properties	N
notwith	35	nitwit,nitwits	GARBAGE		FIX	notwithstanding	N
mumeipal	35		GARBAGE		FIX	municipal	N
ecnter	35	center,enter	FIX	center	FIX	center	Y
water-closct	35		GARBAGE		FIX	water-closet	N
mcsheehy	35		NAME	mcsheehy	NAME	McSheehy	Y
remaming	35	renaming,remaking	FIX	renaming	FIX	remaining	Y
nonclassroom	35		KEEP	nonclassroom	KEEP	nonclassroom	Y
lowand	35	lowland	FIX	lowland	FIX	lowland	Y
direeter	35	directer	FIX	director	FIX	director	Y
subdi	34	submit,sub	FIX	sub	FIX	subdi	Y
ramento	34	ament,ramen	NAME	sacramento	FIX	ramento	N
priations	34	privations	FIX	appropriations	FIX	priations	Y
lighth	34	light,eighth	FIX	eighth	GARBAGE		N
cuapr	34	cupar	NAME	cuapar	GARBAGE		N
ticable	34	taxable,liable	FIX	taxable	FIX	practicable	Y
onetwelfth	34		KEEP	onetwelfth	KEEP	onetwelfth	Y
sively	34	lively	FIX	lively	GARBAGE		N
condnet	34	conduct,consent	FIX	conduct	FIX	conduct	Y
trahern	34	traherne	NAME	traherne	NAME	Trahern	Y
mackerricher	34		NAME	mackerricher	NAME	Mackerricher	Y
reflectorizing	34		GARBAGE		KEEP	reflectorizing	N
enenenee	34		GARBAGE		GARBAGE		Y
noncredentialed	34		KEEP	noncredentialed	KEEP	noncredentialed	Y
nonmanagement	34		KEEP	nonmanagement	KEEP	nonmanagement	Y
prezoned	34	rezoned	FIX	rezoned	FIX	rezoned	Y
nonissuer	34	nonissue	FIX	nonissue	KEEP	nonissuer	N
n-ethylpseudoephedrine	34		NAME	n-ethylpseudoephedrine	KEEP	n-ethylpseudoephedrine	N
catheterizations	34		KEEP	catheterizations	KEEP	catheterizations	Y
preced	33	precede,priced	FIX	precede	FIX	precede	Y
ninetytwo	33		FIX	ninetytwo	KEEP	ninetytwo	N
pohtical	33	poetical	FIX	poetical	FIX	political	Y
eightyone	33		FIX	eightyone	KEEP	eightyone	N
somoma	33	somoza	NAME	Somoma	NAME	Sonoma	Y
xiji	33	fiji	NAME	Fiji	GARBAGE		N
vame	33	same,name	FIX	name	FIX	same	Y
nouce	33	nonce,douce	FIX	nonce	FIX	notice	Y
maxe	33	made,make	FIX	make	FIX	make	Y
avpropria	33		GARBAGE		GARBAGE		Y
cighty-nine	33		FIX	eighty-nine	FIX	eighty-nine	Y
ié	33	in,is	FIX	in	FIX	is	Y
eeeeeeeees	33		GARBAGE		GARBAGE		Y
right-ofway	33		KEEP	right-ofway	FIX	right-of-way	N
disineorporation	33		GARBAGE		FIX	disincorporation	N
errone	33	error,errors	FIX	error	FIX	erroneous	Y
preventoriums	33		GARBAGE		KEEP	preventoriums	N
asamb	33	asama	NAME	Asama	GARBAGE		N
bronzan-mccorquodale	33		NAME	bronzan-mccorquodale	NAME	Bronzan-McCorquodale	Y
ninetyone	32		FIX	ninetyone	KEEP	ninetyone	N
vood	32	food,good	FIX	good	FIX	good	Y
replanked	32	replanted	FIX	replanted	KEEP	replanked	N
cighty-two	32		FIX	eighty-two	FIX	eighty-two	Y
onv	32	on,one	FIX	on	FIX	on	Y
naines	32	nines,gaines	FIX	nines	FIX	names	Y
unnum	32	undue,annul	GARBAGE		GARBAGE		Y
cancella	32	canella	GARBAGE		GARBAGE		Y
sircet	32	siret	GARBAGE		FIX	street	N
venient	32	lenient	FIX	lenient	FIX	convenient	Y
warreas	32	warrens	FIX	warrens	FIX	whereas	Y
tising	32	timing,rising	FIX	timing	FIX	advertising	Y
trative	32	tractive	FIX	tractive	FIX	administrative	Y
comphed	32	comped	GARBAGE		FIX	complied	N
heeome	32	become,home	FIX	become	FIX	become	Y
poliev	32	policy,police	FIX	police	FIX	policy	Y
turer	32	surer,turner	FIX	surer	FIX	manufacturer	Y
drodelabi	32		GARBAGE		GARBAGE		Y
havenner	32	avenger,lavender	GARBAGE		NAME	Havenner	N
japatul	32		NAME	japatul	NAME	Japatul	Y
yoats	32	boats,goats	FIX	boats	FIX	boats	Y
nonbypassable	32		KEEP	nonbypassable	KEEP	nonbypassable	Y
nonrecreational	32		KEEP	nonrecreational	KEEP	nonrecreational	Y
ehminate	32	terminate,eliminate	FIX	eliminate	FIX	eliminate	Y
mbursement	32		GARBAGE		FIX	reimbursement	N
preexpulsion	32		KEEP	preexpulsion	KEEP	preexpulsion	Y
dbcp	32	deep,duct	GARBAGE		KEEP	dbcp	N
disenroll	32		KEEP	disenroll	KEEP	disenroll	Y
prequalifying	32		KEEP	prequalifying	KEEP	prequalifying	Y
cighty-one	31		FIX	eighty-one	FIX	eighty-one	Y
fiftysix	31		FIX	fifty-six	KEEP	fiftysix	N
cecee	31	cease,decree	GARBAGE		GARBAGE		Y
posals	31	poses,goals	GARBAGE		FIX	proposals	N
tchama	31	cham,hama	GARBAGE		NAME	Tehama	N
tants	31	tanks,ants	GARBAGE		FIX	consultants	N
inonth	31	month,north	FIX	month	FIX	month	Y
courity	31	county,court	FIX	county	FIX	county	Y
demnation	31	damnation	FIX	damnation	FIX	condemnation	Y
eneeeeeee	31		GARBAGE		GARBAGE		Y
pror	31	prior,pro	FIX	prior	FIX	prior	Y
appropriathereof	31		GARBAGE		GARBAGE		Y
inefect	31	infect	FIX	infect	FIX	in effect	Y
keting	31	meting,kiting	GARBAGE		FIX	marketing	N
inurnment	31	inurement	FIX	inurement	FIX	inurnment	Y
punnd	31	punned	FIX	punned	FIX	pound	Y
elverta	31	alberta,evert	NAME	Elberta	NAME	Elverta	Y
eeeeeeeeeeeeeee	31		GARBAGE		GARBAGE		Y
cccceeee	31		GARBAGE		GARBAGE		Y
ceeeeeeeeee	31		GARBAGE		GARBAGE		Y
cccceeeeee	31		GARBAGE		GARBAGE		Y
diphenoxylate	31		KEEP	diphenoxylate	KEEP	diphenoxylate	Y
n-methylpseudoephedrine	31		KEEP	n-methylpseudoephedrine	KEEP	n-methylpseudoephedrine	Y
seeeeee	30		GARBAGE		GARBAGE		Y
eece	30	sec,each	FIX	sec	GARBAGE		N
promded	30	prodded	FIX	prodded	FIX	provided	Y
svon	30	sion,soon	FIX	soon	FIX	soon	Y
cnter	30	center,enter	FIX	center	FIX	center	Y
omees	30	omens	FIX	omens	GARBAGE		N
nincty-six	30		FIX	ninety-six	FIX	ninety-six	Y
exeente	30	extent,expense	FIX	extent	FIX	execute	Y
cighty-seven	30		FIX	eighty-seven	FIX	eighty-seven	Y
ccccee	30		GARBAGE		GARBAGE		Y
cighty-eight	30		FIX	eighty-eight	FIX	eighty-eight	Y
ilouse	30	louse,blouse	FIX	louse	FIX	house	Y
appropriadollars	30		GARBAGE		GARBAGE		Y
yoio	30	yoko	NAME	Yoko	GARBAGE		N
erans	30	evans,earns	NAME	Evans	FIX	veterans	N
mmor	30	moor,amor	FIX	moor	FIX	minor	Y
corbina	30	corina	NAME	Corina	NAME	Corbina	Y
subeontainer	30		GARBAGE		FIX	subcontainer	N
ethy	30	ethyl,thy	FIX	ethyl	FIX	ethyl	Y
pohey	30	pokey,pogey	NAME	Pokey	FIX	policy	N
rimpau	30	rameau,rimbaud	NAME	Rameau	NAME	Rimpau	Y
khandahar	30	kandahar	NAME	Kandahar	NAME	Kandahar	Y
noncivil	30	uncivil	FIX	uncivil	KEEP	noncivil	N
stepd	30	step,steps	FIX	step	FIX	step	Y
cceeeeeeeeee	30		GARBAGE		GARBAGE		Y
mdicated	30	medicated	FIX	medicated	FIX	medicated	Y
misassignment	30	misalignment	FIX	misalignment	KEEP	misassignment	N
duplissea	30		GARBAGE		NAME	Duplissea	N
mobilehomes-manufactured	30		KEEP	mobilehomes-manufactured	KEEP	mobilehomes-manufactured	Y
reroofed	30	reproofed	FIX	reproofed	KEEP	reroofed	N
mapin	30	main,marin	NAME	marin	NAME	Marin	Y
ruary	29	jury,guard	GARBAGE		FIX	february	N
ficers	29	fibers,filers	FIX	officers	FIX	officers	Y
caar	29	car,char	FIX	car	FIX	car	Y
retums	29	rectums	GARBAGE		FIX	returns	N
sloners	29	loners	FIX	loners	FIX	commissioners	Y
fisea	29	filed,five	FIX	filed	FIX	fiscal	Y
iment	29	ament	FIX	ament	GARBAGE		N
solidated	29	validated,solicited	FIX	consolidated	FIX	consolidated	Y
certiteate	29		GARBAGE		FIX	certificate	N
halepense	29	halfpence	FIX	halfpence	KEEP	halepense	N
indorsers	29	indorses,endorsers	FIX	endorsers	KEEP	indorsers	N
whese	29	where,these	FIX	where	FIX	where	Y
eceeeeee	29		GARBAGE		GARBAGE		Y
suea	29	sea,sue	FIX	suea	FIX	such	Y
appheations	29		GARBAGE		FIX	applications	N
therecn	29	therein,thereon	FIX	therein	FIX	thereon	Y
ribier	29	ribber,rimier	NAME	ribier	NAME	Ribier	Y
frori	29	frore	GARBAGE		FIX	from	N
onginal	29	anginal	FIX	original	FIX	original	Y
approveecretary	29		GARBAGE		GARBAGE		Y
dipheny	29	diphenyl	FIX	diphenyl	FIX	diphenyl	Y
mecorquodale	29		GARBAGE		NAME	McCorquodale	N
eeeneeeeeeeees	29		GARBAGE		GARBAGE		Y
lacmta	29	lama,lacuna	NAME	lacmta	KEEP	lacmta	N
cawelo	29	camel,camels	GARBAGE		NAME	Cawelo	N
eceeeee	28		GARBAGE		GARBAGE		Y
ulations	28	relations,stations	FIX	relations	FIX	regulations	Y
stituted	28	statutes,statute	FIX	statute	FIX	constituted	Y
sehoo	28	shoo	GARBAGE		FIX	school	N
vowers	28	powers,voters	FIX	powers	FIX	powers	Y
repiled	28	refiled,replied	FIX	refiled	FIX	refiled	Y
szcrron	28	sharron,scarron	NAME	szcrron	NAME	Szcrron	Y
seeeeeee	28		GARBAGE		GARBAGE		Y
xame	28	same,name	FIX	same	FIX	same	Y
joaned	28	loaned,joined	FIX	joined	FIX	loaned	Y
iting	28	ting,siting	GARBAGE		FIX	siting	N
innds	28	inns	FIX	inns	FIX	inns	Y
londs	28	bonds,lands	FIX	lands	FIX	bonds	Y
offoct	28	effect,office	FIX	effect	FIX	effect	Y
porary	28	horary	GARBAGE		FIX	temporary	N
calpella	28	capella	NAME	calpella	NAME	Calpella	Y
aecording	28	according,recording	FIX	according	FIX	according	Y
replanking	28	replanting	FIX	replanting	KEEP	replanking	N
transue	28	transude	GARBAGE		GARBAGE		Y
annlv	28	angle,annex	GARBAGE		FIX	annex	N
tigation	28	ligation	FIX	ligation	FIX	litigation	Y
caltforma	28		NAME	caltforma	NAME	California	Y
forty-fiftil	28		FIX	forty-fifth	FIX	forty-fifth	Y
receivec	28	receive,received	FIX	received	FIX	received	Y
policv	28	policy,police	FIX	policy	FIX	policy	Y
blairsden	28		NAME	Blairsden	NAME	Blairsden	Y
iccal	28	local,fiscal	FIX	local	FIX	local	Y
nonfire	28	bonfire	GARBAGE		KEEP	nonfire	N
nonsupervisory	28		KEEP	nonsupervisory	KEEP	nonsupervisory	Y
phenmetrazine	28		NAME	phenmetrazine	KEEP	phenmetrazine	N
housecars	28	horsecars,housecarl	GARBAGE		KEEP	housecars	N
nonschoolday	28		KEEP	nonschoolday	KEEP	nonschoolday	Y
cceeeeeeee	28		GARBAGE		GARBAGE		Y
nonoffending	28	unoffending	FIX	unoffending	KEEP	nonoffending	N
vanpooling	28	carpooling	FIX	carpooling	KEEP	vanpooling	N
nonadversarial	28		KEEP	nonadversarial	KEEP	nonadversarial	Y
lindheim	28	blindheim	NAME	Lindheim	NAME	Lindheim	Y
jority	27	majority,forty	FIX	majority	FIX	majority	Y
fortysix	27	fortyish	KEEP	fortysix	KEEP	fortysix	Y
stantial	27	spatial,statical	FIX	substantial	FIX	substantial	Y
fiftytwo	27		KEEP	fiftytwo	KEEP	fiftytwo	Y
bxc	27	exc,bic	GARBAGE		GARBAGE		Y
markleeville	27		NAME	Markleeville	NAME	Markleeville	Y
oight	27	right,eight	FIX	right	FIX	eight	Y
whoin	27	whin	GARBAGE		FIX	whom	N
tious	27	thous,titus	GARBAGE		GARBAGE		Y
quict	27	quiet,quit	FIX	quiet	FIX	quiet	Y
moucy	27	mousy	FIX	mousy	GARBAGE		N
scem	27	seem,stem	FIX	seem	FIX	seem	Y
payab	27	pay,payable	FIX	payable	FIX	payable	Y
appropriahereby	27		GARBAGE		GARBAGE		Y
enees	27	knees	FIX	knees	GARBAGE		N
bohnett	27	burnett,bennett	NAME	bohnett	NAME	Bohnett	Y
superindred	27		GARBAGE		GARBAGE		Y
palities	27	polities,parities	FIX	polities	FIX	municipalities	Y
comties	27	commies,cooties	GARBAGE		FIX	counties	N
sveh	27	sven	NAME	sveh	FIX	such	N
iuled	27	ruled,puled	FIX	ruled	FIX	ruled	Y
meludes	27	eludes,deludes	FIX	eludes	FIX	includes	Y
cholame	27	chelate,chorale	NAME	cholame	NAME	Cholame	Y
jender	27	render,lender	FIX	render	FIX	gender	Y
dattier	27	battier,cattier	GARBAGE		GARBAGE		Y
dizmar	27	disbar,dagmar	GARBAGE		GARBAGE		Y
ficer	27	fiber,filer	FIX	filer	FIX	officer	Y
nondeductibility	27		KEEP	nondeductibility	KEEP	nondeductibility	Y
noncompensable	27		KEEP	noncompensable	KEEP	noncompensable	Y
dolwig	27	doling,dowie	GARBAGE		NAME	Dolwig	N
nonspouse	27		KEEP	nonspouse	KEEP	nonspouse	Y
cccceeeee	27		GARBAGE		GARBAGE		Y
nonownership	27		KEEP	nonownership	KEEP	nonownership	Y
fléchette	27		NAME	fléchette	KEEP	fléchette	N
calnet	27	carnet	NAME	calnet	KEEP	calnet	N
eeeeeeeeeees	27		GARBAGE		GARBAGE		Y
hemapheresis	27		FIX	hemophoresis	KEEP	hemapheresis	N
jeading	26	heading,reading	FIX	reading	FIX	heading	Y
sonally	26	tonally,zonally	GARBAGE		FIX	personally	N
ereee	26	free,creek	GARBAGE		GARBAGE		Y
vahd	26	fahd,vaud	GARBAGE		FIX	valid	N
ensation	26	sensation	FIX	sensation	FIX	sensation	Y
sessed	26	sensed,fessed	FIX	sensed	FIX	assessed	Y
licutenant-governor	26		FIX	lieutenant-governor	FIX	lieutenant-governor	Y
loast	26	least,last	FIX	least	FIX	least	Y
cighty-six	26		GARBAGE		FIX	eighty-six	N
forin	26	orin,florin	GARBAGE		FIX	foreign	N
icgal	26	legal,cal	FIX	legal	FIX	legal	Y
vrade	26	grade,trade	FIX	grade	FIX	grade	Y
furmsh	26	furnish,forms	FIX	furnish	FIX	furnish	Y
narne	26	carne,marne	GARBAGE		FIX	name	N
limt	26	list,limit	FIX	limit	FIX	limit	Y
wuenrzas	26		GARBAGE		FIX	whereas	N
wuere	26	where,were	FIX	where	FIX	where	Y
heremabove	26		GARBAGE		FIX	hereinabove	N
pistnet	26	piste,pistes	GARBAGE		FIX	district	N
wauerras	26		GARBAGE		FIX	whereas	N
ecurt	26	curt	FIX	curt	FIX	court	Y
entrymen	26	vestrymen	NAME	vestrymen	FIX	entrymen	N
nommation	26	formation,nomination	FIX	nomination	FIX	nomination	Y
wauerzas	26		GARBAGE		FIX	whereas	N
xill	26	bill,will	FIX	bill	FIX	bill	Y
effee	26	effie,effed	NAME	Effie	GARBAGE		N
jamacha	26	jamaica,camacho	NAME	Jamaica	NAME	Jamacha	Y
nongeneral	26		GARBAGE		KEEP	nongeneral	N
nutgrass	26	knotgrass	FIX	knotgrass	KEEP	nutgrass	N
nonregulatory	26		GARBAGE		KEEP	nonregulatory	N
stepc	26	step,steps	FIX	step	FIX	step	Y
rehrement	26	recrement	GARBAGE		FIX	retirement	N
nonvested	26	invested,converted	FIX	nonvested	KEEP	nonvested	N
peliee	26	pelee,pelite	NAME	Pelee	FIX	police	N
aitangemenl	26		GARBAGE		FIX	arrangement	N
officet	26	office,officer	FIX	office	FIX	officer	Y
airbill	26	airily,arbil	GARBAGE		KEEP	airbill	N
schabarum	26		NAME	Schabarum	NAME	Schabarum	Y
nonhalogenated	26		GARBAGE		KEEP	nonhalogenated	N
nonrenew	26		GARBAGE		KEEP	nonrenew	N
cervantez	26	cervantes	FIX	cervantes	NAME	Cervantez	N
criginal	25	original,criminal	FIX	original	FIX	original	Y
uation	25	nation,cation	GARBAGE		FIX	situation	N
ditional	25	additional,national	FIX	additional	FIX	additional	Y
cnav	25	cav	FIX	cav	GARBAGE		N
bandred	25	banded,bandied	GARBAGE		FIX	hundred	N
iret	25	ire,fret	GARBAGE		GARBAGE		Y
therchy	25	thearchy	GARBAGE		FIX	thereby	N
indorsee	25	indorsed,indorse	FIX	indorsed	KEEP	indorsee	N
plaus	25	plans,plus	GARBAGE		FIX	plans	N
francisen	25	francisco,franchise	NAME	francisco	NAME	Francisco	Y
ficial	25	facial,filial	FIX	official	FIX	official	Y
anpum	25	input,annul	GARBAGE		GARBAGE		Y
wuenrras	25		GARBAGE		FIX	whereas	N
sbali	25	bali	NAME	bali	FIX	shall	N
pohce	25	ponce	GARBAGE		FIX	police	N
serip	25	strip,scrip	FIX	scrip	FIX	scrip	Y
deerned	25	defined,deemed	FIX	deemed	FIX	deemed	Y
eable	25	able,enable	FIX	enable	FIX	enable	Y
thirty-cighth	25		GARBAGE		FIX	thirty-eighth	N
tted	25	ted,tied	KEEP	tted	GARBAGE		N
watergates	25	watergate	NAME	watergate	KEEP	watergates	N
subregistrar	25		GARBAGE		KEEP	subregistrar	N
furbearing	25	forbearing	FIX	forbearing	KEEP	furbearing	N
dstnet	25	stent,stet	KEEP	dstnet	FIX	district	N
sinsheimer	25		NAME	sinsheimer	NAME	Sinsheimer	Y
buchon	25	buchan	NAME	buchan	NAME	Buchon	Y
ilarbor	25	labor,harbor	FIX	labor	FIX	harbor	Y
eards	25	wards,cards	FIX	wards	FIX	wards	Y
panama-pacifie	25		GARBAGE		FIX	panama-pacific	N
pubbeation	25		GARBAGE		FIX	publication	N
audito	25	auditor,audit	FIX	auditor	FIX	auditor	Y
fitate	25	fixate	FIX	fixate	FIX	state	Y
exnended	25	expended,extended	FIX	extended	FIX	expended	Y
condemnor	25	contemnor,condemner	FIX	condemnor	KEEP	condemnor	N
kelloggvoorhis	25		NAME	kelloggvoorhis	NAME	Kellogg-Voorhis	Y
stepb	25	step,steps	FIX	step	FIX	step	Y
nonforwardable	25		GARBAGE		KEEP	nonforwardable	N
eeeneeeeeee	25		GARBAGE		GARBAGE		Y
nisene	25	nicene	NAME	nisene	NAME	Nisene	Y
offhighway	25		GARBAGE		FIX	off-highway	N
ccceeeeeeee	25		GARBAGE		GARBAGE		Y
ccceeeeeee	25		GARBAGE		GARBAGE		Y
phenazocine	25	phenazine	FIX	phenazocine	KEEP	phenazocine	N
decocainized	25	cocainized	FIX	decocainized	KEEP	decocainized	N
nonearthen	25		GARBAGE		KEEP	nonearthen	N
nondiagnostic	25		GARBAGE		KEEP	nondiagnostic	N
buspools	25	spools	FIX	buspools	KEEP	buspools	N
knopki	25	knock,knocks	NAME	knopki	NAME	Knopki	Y
flushometer	25	fluorometer	FIX	flushometer	KEEP	flushometer	N
subgrants	25	subtracts	GARBAGE		KEEP	subgrants	N
nonprivileged	25	unprivileged	FIX	nonprivileged	KEEP	nonprivileged	N
tuted	24	muted,tuned	FIX	muted	FIX	constituted	Y
nardino	24	marino,sardine	NAME	nardino	NAME	Bernardino	Y
wnere	24	where,were	FIX	where	FIX	where	Y
cightoon	24		GARBAGE		FIX	eighteen	N
eeneeeee	24		GARBAGE		GARBAGE		Y
jation	24	nation,cation	FIX	nation	FIX	nation	Y
compotent	24	competent,component	FIX	competent	FIX	competent	Y
staic	24	stair,static	FIX	static	FIX	static	Y
wuenrsas	24		GARBAGE		FIX	whereas	N
innd	24	inn,ind	KEEP	innd	FIX	and	N
appropra	24		GARBAGE		GARBAGE		Y
neld	24	held,need	FIX	held	FIX	held	Y
disincorporating	24		KEEP	disincorporating	KEEP	disincorporating	Y
multiphed	24	multiped	GARBAGE		FIX	multiplied	N
cless	24	less,class	FIX	less	FIX	class	Y
llagas	24	llamas	NAME	llagas	NAME	Llagas	Y
maiter	24	matter,master	FIX	matter	FIX	matter	Y
hghting	24	lighting,hunting	FIX	lighting	FIX	lighting	Y
tiguous	24	tenuous,exiguous	GARBAGE		FIX	contiguous	N
famihes	24	famines,famishes	GARBAGE		FIX	families	N
mtended	24	tended,mended	FIX	tended	FIX	intended	Y
fective	24	festive,fictive	GARBAGE		FIX	effective	N
aguanga	24	agana,iguana	NAME	aguanga	NAME	Aguanga	Y
riod	24	rio,riot	KEEP	riod	FIX	period	N
emment	24	emmett,emmet	NAME	emment	FIX	government	N
delnery	24	deanery	GARBAGE		FIX	delivery	N
excludible	24		GARBAGE		KEEP	excludible	N
eeeeeeeeeeeeeeee	24		GARBAGE		GARBAGE		Y
nonrenewed	24	unrenewed	FIX	unrenewed	KEEP	nonrenewed	N
eeneneeeeereees	24		GARBAGE		GARBAGE		Y
preproject	24		GARBAGE		KEEP	preproject	N
anileridine	24		GARBAGE		KEEP	anileridine	N
piminodine	24		GARBAGE		KEEP	piminodine	N
isomethadone	24		GARBAGE		KEEP	isomethadone	N
levorphanol	24		KEEP	levorphanol	KEEP	levorphanol	Y
timpany	24	tympany,timpani	FIX	tympany	FIX	tympany	Y
allcounty	24		FIX	all county	KEEP	allcounty	N
phenylcyclohexyl	24		GARBAGE		KEEP	phenylcyclohexyl	N
nonseverely	24		FIX	nonseverely	KEEP	nonseverely	N
fayor	23	mayor,favor	FIX	mayor	FIX	favor	Y
devisadero	23		NAME	devisadero	NAME	Divisadero	Y
cludes	23	eludes,clues	FIX	cludes	FIX	includes	Y
seeree	23	sheree	GARBAGE		GARBAGE		Y
sixty-threc	23		FIX	sixty-three	FIX	sixty-three	Y
cuoar	23	cupar	GARBAGE		GARBAGE		Y
sirth	23	birth,sixth	FIX	sixth	FIX	sixth	Y
providea	23	provided,provide	FIX	provided	FIX	provided	Y
eenes	23	genes,menes	GARBAGE		GARBAGE		Y
disposa	23	disposal,dispose	FIX	disposal	FIX	disposal	Y
decom	23	decoy,deco	GARBAGE		FIX	decompose	N
thirty-siath	23		FIX	thirty-sixth	FIX	thirty-sixth	Y
veyance	23	vance,abeyance	FIX	abeyance	FIX	conveyance	Y
devree	23	degree,decree	FIX	degree	FIX	degree	Y
tirey	23	tire,tires	KEEP	tirey	NAME	Tirey	N
forty-cighth	23		FIX	forty-eighth	FIX	forty-eighth	Y
nember	23	member,number	FIX	member	FIX	member	Y
deputyships	23		GARBAGE		KEEP	deputyships	N
hereinahove	23		GARBAGE		FIX	hereinabove	N
represa	23	repress	FIX	repress	NAME	Represa	N
rnore	23	snore	FIX	snore	FIX	more	Y
appheants	23		GARBAGE		FIX	applicants	N
determinec	23	determined,determine	FIX	determined	FIX	determined	Y
navable	23	namable,savable	GARBAGE		FIX	navigable	N
governmg	23	governor,governing	FIX	governing	FIX	governing	Y
appheatio	23		GARBAGE		FIX	application	N
rerecordation	23	redecoration	GARBAGE		KEEP	rerecordation	N
redrilled	23	drilled,refilled	FIX	redrilled	FIX	redrilled	Y
delaveaga	23		NAME	delaveaga	NAME	De La Veaga	Y
rehabili	23		GARBAGE		FIX	rehabilitate	N
niehouse	23	firehouse,alehouse	NAME	niehouse	NAME	Niehouse	Y
perlette	23	perlite,permeate	FIX	perlite	NAME	Perlette	N
strohecker	23		NAME	strohecker	NAME	Strohecker	Y
oblberg	23	arlberg	NAME	arlberg	NAME	Oblberg	Y
eeneneeee	23		GARBAGE		GARBAGE		Y
hydroxy-nordihydromorphinone	23		KEEP	hydroxy-nordihydromorphinone	KEEP	hydroxy-nordihydromorphinone	Y
bezitramide	23		KEEP	bezitramide	KEEP	bezitramide	Y
nonqualifying	23		KEEP	nonqualifying	KEEP	nonqualifying	Y
resubmittal	23	submittal,resubmitted	FIX	resubmittal	KEEP	resubmittal	N
nonmonetized	23		KEEP	nonmonetized	KEEP	nonmonetized	Y
buspool	23	spool	GARBAGE		KEEP	buspool	N
terested	22	interested,treated	FIX	interested	FIX	interested	Y
sxcrron	22	sharron,scarron	FIX	sharron	NAME	Sxcrron	N
siaty-three	22		FIX	sixty-three	FIX	sixty-three	Y
slong	22	along,long	FIX	along	FIX	along	Y
thuse	22	those,these	FIX	those	FIX	those	Y
ccecee	22		GARBAGE		GARBAGE		Y
adupt	22	adopt,adult	FIX	adopt	FIX	adopt	Y
inbor	22	inborn	KEEP	inbor	FIX	labor	N
recla	22	recta	GARBAGE		GARBAGE		Y
