token	freq	corrected	tier	sonnet_verdict	gemma_verdict
prelicensing	36		KEEP	KEEP	FIX
safco	36	SAFCO	SONNET_NAME	NAME	NAME
srcrron	36	Sharron	SONNET_NAME	NAME	GARBAGE
stiern	36	Stiern	SONNET_NAME	NAME	FIX
ticular	36	particular	SONNET_FIX	FIX	FIX
uary	36	january	SONNET_FIX	FIX	KEEP
viving	36	reviving	SONNET_FIX	FIX	FIX
acknowl	35	acknowledge	SONNET_FIX	FIX	GARBAGE
actentitled	35	act entitled	SONNET_FIX	FIX	GARBAGE
cccceee	35		GARBAGE_FLAG	GARBAGE	GARBAGE
dcem	35	deem	AUTO_SAFE	FIX	FIX
direeter	35	director	AUTO_SAFE	FIX	FIX
ecnter	35	center	AUTO_SAFE	FIX	FIX
erties	35	properties	SONNET_FIX	FIX	GARBAGE
lowand	35	lowland	AUTO_SAFE	FIX	FIX
mcsheehy	35	McSheehy	SONNET_NAME	NAME	NAME
mumber	35	number	SONNET_FIX	FIX	FIX
mumeipal	35	municipal	SONNET_FIX	FIX	GARBAGE
niust	35	must	SONNET_FIX	FIX	FIX
nonclassroom	35		KEEP	KEEP	KEEP
notwith	35	notwithstanding	SONNET_FIX	FIX	GARBAGE
ottice	35	office	AUTO_SAFE	FIX	FIX
rected	35	directed	SONNET_FIX	FIX	FIX
remaming	35	remaining	SONNET_FIX	FIX	FIX
sattley	35	Sattley	SONNET_NAME	NAME	NAME
venience	35	convenience	SONNET_FIX	FIX	FIX
water-closct	35	water-closet	SONNET_FIX	FIX	GARBAGE
catheterizations	34		KEEP	KEEP	KEEP
condnet	34	conduct	AUTO_SAFE	FIX	FIX
cuapr	34		GARBAGE_FLAG	GARBAGE	NAME
enenenee	34		GARBAGE_FLAG	GARBAGE	GARBAGE
lighth	34		GARBAGE_FLAG	GARBAGE	FIX
mackerricher	34	Mackerricher	SONNET_NAME	NAME	NAME
n-ethylpseudoephedrine	34		KEEP	KEEP	NAME
noncredentialed	34		KEEP	KEEP	KEEP
nonissuer	34		KEEP	KEEP	FIX
nonmanagement	34		KEEP	KEEP	KEEP
onetwelfth	34		KEEP	KEEP	KEEP
prezoned	34	rezoned	AUTO_SAFE	FIX	FIX
priations	34		KEEP	FIX	FIX
ramento	34		KEEP	FIX	NAME
reflectorizing	34		KEEP	KEEP	GARBAGE
sively	34		GARBAGE_FLAG	GARBAGE	FIX
subdi	34		KEEP	FIX	FIX
ticable	34	practicable	SONNET_FIX	FIX	FIX
trahern	34	Trahern	SONNET_NAME	NAME	NAME
asamb	33		GARBAGE_FLAG	GARBAGE	NAME
avpropria	33		GARBAGE_FLAG	GARBAGE	GARBAGE
bronzan-mccorquodale	33	Bronzan-McCorquodale	SONNET_NAME	NAME	NAME
cighty-nine	33	eighty-nine	AUTO_SAFE	FIX	FIX
disineorporation	33	disincorporation	SONNET_FIX	FIX	GARBAGE
eeeeeeeees	33		GARBAGE_FLAG	GARBAGE	GARBAGE
eightyone	33		KEEP	KEEP	FIX
errone	33	erroneous	SONNET_FIX	FIX	FIX
ié	33		FRAGMENT_HOLD	FIX	FIX
maxe	33	make	AUTO_SAFE	FIX	FIX
ninetytwo	33		KEEP	KEEP	FIX
nouce	33	notice	SONNET_FIX	FIX	FIX
pohtical	33	political	SONNET_FIX	FIX	FIX
preced	33	precede	AUTO_SAFE	FIX	FIX
preventoriums	33		KEEP	KEEP	GARBAGE
right-ofway	33	right-of-way	SONNET_FIX	FIX	KEEP
somoma	33	Sonoma	SONNET_NAME	NAME	NAME
vame	33	same	SONNET_FIX	FIX	FIX
xiji	33		GARBAGE_FLAG	GARBAGE	NAME
cancella	32		GARBAGE_FLAG	GARBAGE	GARBAGE
cighty-two	32	eighty-two	AUTO_SAFE	FIX	FIX
comphed	32	complied	SONNET_FIX	FIX	GARBAGE
dbcp	32		KEEP	KEEP	GARBAGE
disenroll	32		KEEP	KEEP	KEEP
drodelabi	32		GARBAGE_FLAG	GARBAGE	GARBAGE
ehminate	32	eliminate	AUTO_SAFE	FIX	FIX
havenner	32	Havenner	SONNET_NAME	NAME	GARBAGE
heeome	32	become	AUTO_SAFE	FIX	FIX
japatul	32	Japatul	SONNET_NAME	NAME	NAME
mbursement	32	reimbursement	SONNET_FIX	FIX	GARBAGE
naines	32	names	SONNET_FIX	FIX	FIX
ninetyone	32		KEEP	KEEP	FIX
nonbypassable	32		KEEP	KEEP	KEEP
nonrecreational	32		KEEP	KEEP	KEEP
onv	32		FRAGMENT_HOLD	FIX	FIX
poliev	32	policy	SONNET_FIX	FIX	FIX
preexpulsion	32		KEEP	KEEP	KEEP
prequalifying	32		KEEP	KEEP	KEEP
replanked	32		KEEP	KEEP	FIX
sircet	32	street	SONNET_FIX	FIX	GARBAGE
tising	32	advertising	SONNET_FIX	FIX	FIX
trative	32	administrative	SONNET_FIX	FIX	FIX
turer	32	manufacturer	SONNET_FIX	FIX	FIX
unnum	32		GARBAGE_FLAG	GARBAGE	GARBAGE
venient	32	convenient	SONNET_FIX	FIX	FIX
vood	32	good	AUTO_SAFE	FIX	FIX
warreas	32	whereas	SONNET_FIX	FIX	FIX
yoats	32	boats	AUTO_SAFE	FIX	FIX
appropriathereof	31		GARBAGE_FLAG	GARBAGE	GARBAGE
cccceeee	31		GARBAGE_FLAG	GARBAGE	GARBAGE
cccceeeeee	31		GARBAGE_FLAG	GARBAGE	GARBAGE
cecee	31		GARBAGE_FLAG	GARBAGE	GARBAGE
ceeeeeeeeee	31		GARBAGE_FLAG	GARBAGE	GARBAGE
cighty-one	31	eighty-one	AUTO_SAFE	FIX	FIX
courity	31	county	AUTO_SAFE	FIX	FIX
demnation	31	condemnation	SONNET_FIX	FIX	FIX
diphenoxylate	31		KEEP	KEEP	KEEP
eeeeeeeeeeeeeee	31		GARBAGE_FLAG	GARBAGE	GARBAGE
elverta	31	Elverta	SONNET_NAME	NAME	NAME
eneeeeeee	31		GARBAGE_FLAG	GARBAGE	GARBAGE
fiftysix	31		KEEP	KEEP	FIX
inefect	31	in effect	SONNET_FIX	FIX	FIX
inonth	31	month	AUTO_SAFE	FIX	FIX
inurnment	31		KEEP	FIX	FIX
keting	31	marketing	SONNET_FIX	FIX	GARBAGE
n-methylpseudoephedrine	31		KEEP	KEEP	KEEP
posals	31	proposals	SONNET_FIX	FIX	GARBAGE
pror	31	prior	AUTO_SAFE	FIX	FIX
punnd	31	pound	SONNET_FIX	FIX	FIX
tants	31	consultants	SONNET_FIX	FIX	GARBAGE
tchama	31	Tehama	SONNET_NAME	NAME	GARBAGE
appropriadollars	30		GARBAGE_FLAG	GARBAGE	GARBAGE
ccccee	30		GARBAGE_FLAG	GARBAGE	GARBAGE
cceeeeeeeeee	30		GARBAGE_FLAG	GARBAGE	GARBAGE
cighty-eight	30	eighty-eight	AUTO_SAFE	FIX	FIX
cighty-seven	30	eighty-seven	AUTO_SAFE	FIX	FIX
cnter	30	center	AUTO_SAFE	FIX	FIX
corbina	30	Corbina	SONNET_NAME	NAME	NAME
duplissea	30	Duplissea	SONNET_NAME	NAME	GARBAGE
eece	30		GARBAGE_FLAG	GARBAGE	FIX
erans	30	veterans	SONNET_FIX	FIX	NAME
ethy	30	ethyl	AUTO_SAFE	FIX	FIX
exeente	30	execute	SONNET_FIX	FIX	FIX
ilouse	30	house	SONNET_FIX	FIX	FIX
khandahar	30	Kandahar	SONNET_NAME	NAME	NAME
mapin	30	Marin	SONNET_NAME	NAME	NAME
mdicated	30	medicated	AUTO_SAFE	FIX	FIX
misassignment	30		KEEP	KEEP	FIX
mmor	30	minor	SONNET_FIX	FIX	FIX
mobilehomes-manufactured	30		KEEP	KEEP	KEEP
nincty-six	30	ninety-six	AUTO_SAFE	FIX	FIX
noncivil	30		KEEP	KEEP	FIX
omees	30		GARBAGE_FLAG	GARBAGE	FIX
pohey	30	policy	SONNET_FIX	FIX	NAME
promded	30	provided	SONNET_FIX	FIX	FIX
reroofed	30		KEEP	KEEP	FIX
rimpau	30	Rimpau	SONNET_NAME	NAME	NAME
seeeeee	30		GARBAGE_FLAG	GARBAGE	GARBAGE
stepd	30	step	AUTO_SAFE	FIX	FIX
subeontainer	30	subcontainer	SONNET_FIX	FIX	GARBAGE
svon	30	soon	AUTO_SAFE	FIX	FIX
yoio	30		GARBAGE_FLAG	GARBAGE	NAME
appheations	29	applications	SONNET_FIX	FIX	GARBAGE
approveecretary	29		GARBAGE_FLAG	GARBAGE	GARBAGE
caar	29	car	AUTO_SAFE	FIX	FIX
cawelo	29	Cawelo	SONNET_NAME	NAME	GARBAGE
certiteate	29	certificate	SONNET_FIX	FIX	GARBAGE
dipheny	29	diphenyl	AUTO_SAFE	FIX	FIX
eceeeeee	29		GARBAGE_FLAG	GARBAGE	GARBAGE
eeeneeeeeeeees	29		GARBAGE_FLAG	GARBAGE	GARBAGE
ficers	29	officers	AUTO_SAFE	FIX	FIX
fisea	29	fiscal	SONNET_FIX	FIX	FIX
frori	29	from	SONNET_FIX	FIX	GARBAGE
halepense	29		KEEP	KEEP	FIX
iment	29		GARBAGE_FLAG	GARBAGE	FIX
indorsers	29		KEEP	KEEP	FIX
lacmta	29		KEEP	KEEP	NAME
mecorquodale	29	McCorquodale	SONNET_NAME	NAME	GARBAGE
onginal	29	original	AUTO_SAFE	FIX	FIX
retums	29	returns	SONNET_FIX	FIX	GARBAGE
ribier	29	Ribier	SONNET_NAME	NAME	NAME
ruary	29	february	SONNET_FIX	FIX	GARBAGE
sloners	29	commissioners	SONNET_FIX	FIX	FIX
solidated	29	consolidated	AUTO_SAFE	FIX	FIX
suea	29	such	SONNET_FIX	FIX	FIX
therecn	29	thereon	SONNET_FIX	FIX	FIX
whese	29	where	AUTO_SAFE	FIX	FIX
aecording	28	according	AUTO_SAFE	FIX	FIX
annlv	28	annex	SONNET_FIX	FIX	GARBAGE
blairsden	28	Blairsden	SONNET_NAME	NAME	NAME
calpella	28	Calpella	SONNET_NAME	NAME	NAME
caltforma	28	California	SONNET_NAME	NAME	NAME
cceeeeeeee	28		GARBAGE_FLAG	GARBAGE	GARBAGE
eceeeee	28		GARBAGE_FLAG	GARBAGE	GARBAGE
forty-fiftil	28	forty-fifth	AUTO_SAFE	FIX	FIX
housecars	28		KEEP	KEEP	GARBAGE
iccal	28	local	AUTO_SAFE	FIX	FIX
innds	28	inns	AUTO_SAFE	FIX	FIX
iting	28	siting	SONNET_FIX	FIX	GARBAGE
joaned	28	loaned	SONNET_FIX	FIX	FIX
lindheim	28	Lindheim	SONNET_NAME	NAME	NAME
londs	28	bonds	SONNET_FIX	FIX	FIX
nonadversarial	28		KEEP	KEEP	KEEP
nonfire	28		KEEP	KEEP	GARBAGE
nonoffending	28		KEEP	KEEP	FIX
nonschoolday	28		KEEP	KEEP	KEEP
nonsupervisory	28		KEEP	KEEP	KEEP
offoct	28	effect	AUTO_SAFE	FIX	FIX
phenmetrazine	28		KEEP	KEEP	NAME
policv	28	policy	AUTO_SAFE	FIX	FIX
porary	28	temporary	SONNET_FIX	FIX	GARBAGE
receivec	28	received	AUTO_SAFE	FIX	FIX
repiled	28	refiled	AUTO_SAFE	FIX	FIX
replanking	28		KEEP	KEEP	FIX
seeeeeee	28		GARBAGE_FLAG	GARBAGE	GARBAGE
sehoo	28	school	SONNET_FIX	FIX	GARBAGE
stituted	28	constituted	SONNET_FIX	FIX	FIX
szcrron	28	Szcrron	SONNET_NAME	NAME	NAME
tigation	28	litigation	SONNET_FIX	FIX	FIX
transue	28		GARBAGE_FLAG	GARBAGE	GARBAGE
ulations	28	regulations	SONNET_FIX	FIX	FIX
vanpooling	28		KEEP	KEEP	FIX
vowers	28	powers	AUTO_SAFE	FIX	FIX
xame	28	same	AUTO_SAFE	FIX	FIX
appropriahereby	27		GARBAGE_FLAG	GARBAGE	GARBAGE
bohnett	27	Bohnett	SONNET_NAME	NAME	NAME
bxc	27		GARBAGE_FLAG	GARBAGE	GARBAGE
calnet	27		KEEP	KEEP	NAME
cccceeeee	27		GARBAGE_FLAG	GARBAGE	GARBAGE
cholame	27	Cholame	SONNET_NAME	NAME	NAME
comties	27	counties	SONNET_FIX	FIX	GARBAGE
dattier	27		GARBAGE_FLAG	GARBAGE	GARBAGE
dizmar	27		GARBAGE_FLAG	GARBAGE	GARBAGE
dolwig	27	Dolwig	SONNET_NAME	NAME	GARBAGE
eeeeeeeeeees	27		GARBAGE_FLAG	GARBAGE	GARBAGE
enees	27		GARBAGE_FLAG	GARBAGE	FIX
ficer	27	officer	SONNET_FIX	FIX	FIX
fiftytwo	27		KEEP	KEEP	KEEP
fléchette	27		KEEP	KEEP	NAME
fortysix	27		KEEP	KEEP	KEEP
hemapheresis	27		KEEP	KEEP	FIX
iuled	27	ruled	AUTO_SAFE	FIX	FIX
jender	27	gender	SONNET_FIX	FIX	FIX
jority	27	majority	AUTO_SAFE	FIX	FIX
markleeville	27	Markleeville	SONNET_NAME	NAME	NAME
meludes	27	includes	SONNET_FIX	FIX	FIX
moucy	27		GARBAGE_FLAG	GARBAGE	FIX
noncompensable	27		KEEP	KEEP	KEEP
nondeductibility	27		KEEP	KEEP	KEEP
nonownership	27		KEEP	KEEP	KEEP
nonspouse	27		KEEP	KEEP	KEEP
oight	27	eight	SONNET_FIX	FIX	FIX
palities	27	municipalities	SONNET_FIX	FIX	FIX
payab	27	payable	AUTO_SAFE	FIX	FIX
quict	27	quiet	AUTO_SAFE	FIX	FIX
scem	27	seem	AUTO_SAFE	FIX	FIX
stantial	27	substantial	AUTO_SAFE	FIX	FIX
superindred	27		GARBAGE_FLAG	GARBAGE	GARBAGE
sveh	27	such	SONNET_FIX	FIX	NAME
tious	27		GARBAGE_FLAG	GARBAGE	GARBAGE
whoin	27	whom	SONNET_FIX	FIX	GARBAGE
airbill	26		KEEP	KEEP	GARBAGE
aitangemenl	26	arrangement	SONNET_FIX	FIX	GARBAGE
cervantez	26	Cervantez	SONNET_NAME	NAME	FIX
cighty-six	26	eighty-six	SONNET_FIX	FIX	GARBAGE
ecurt	26	court	SONNET_FIX	FIX	FIX
effee	26		GARBAGE_FLAG	GARBAGE	NAME
ensation	26	sensation	AUTO_SAFE	FIX	FIX
entrymen	26		KEEP	FIX	NAME
ereee	26		GARBAGE_FLAG	GARBAGE	GARBAGE
forin	26	foreign	SONNET_FIX	FIX	GARBAGE
furmsh	26	furnish	AUTO_SAFE	FIX	FIX
heremabove	26	hereinabove	SONNET_FIX	FIX	GARBAGE
icgal	26	legal	AUTO_SAFE	FIX	FIX
jamacha	26	Jamacha	SONNET_NAME	NAME	NAME
jeading	26	heading	SONNET_FIX	FIX	FIX
licutenant-governor	26	lieutenant-governor	AUTO_SAFE	FIX	FIX
limt	26	limit	AUTO_SAFE	FIX	FIX
loast	26	least	AUTO_SAFE	FIX	FIX
narne	26	name	SONNET_FIX	FIX	GARBAGE
nommation	26	nomination	AUTO_SAFE	FIX	FIX
nongeneral	26		KEEP	KEEP	GARBAGE
nonhalogenated	26		KEEP	KEEP	GARBAGE
nonregulatory	26		KEEP	KEEP	GARBAGE
nonrenew	26		KEEP	KEEP	GARBAGE
nonvested	26		KEEP	KEEP	FIX
nutgrass	26		KEEP	KEEP	FIX
officet	26	officer	SONNET_FIX	FIX	FIX
peliee	26	police	SONNET_FIX	FIX	NAME
pistnet	26	district	SONNET_FIX	FIX	GARBAGE
rehrement	26	retirement	SONNET_FIX	FIX	GARBAGE
schabarum	26	Schabarum	SONNET_NAME	NAME	NAME
sessed	26	assessed	SONNET_FIX	FIX	FIX
sonally	26	personally	SONNET_FIX	FIX	GARBAGE
stepc	26	step	AUTO_SAFE	FIX	FIX
vahd	26	valid	SONNET_FIX	FIX	GARBAGE
vrade	26	grade	AUTO_SAFE	FIX	FIX
wauerras	26	whereas	SONNET_FIX	FIX	GARBAGE
wauerzas	26	whereas	SONNET_FIX	FIX	GARBAGE
wuenrzas	26	whereas	SONNET_FIX	FIX	GARBAGE
wuere	26	where	AUTO_SAFE	FIX	FIX
xill	26	bill	AUTO_SAFE	FIX	FIX
anpum	25		GARBAGE_FLAG	GARBAGE	GARBAGE
audito	25	auditor	AUTO_SAFE	FIX	FIX
bandred	25	hundred	SONNET_FIX	FIX	GARBAGE
buchon	25	Buchon	SONNET_NAME	NAME	NAME
buspools	25		KEEP	KEEP	FIX
ccceeeeeee	25		GARBAGE_FLAG	GARBAGE	GARBAGE
ccceeeeeeee	25		GARBAGE_FLAG	GARBAGE	GARBAGE
cnav	25		GARBAGE_FLAG	GARBAGE	FIX
condemnor	25		KEEP	KEEP	FIX
criginal	25	original	AUTO_SAFE	FIX	FIX
decocainized	25		KEEP	KEEP	FIX
deerned	25	deemed	AUTO_SAFE	FIX	FIX
ditional	25	additional	AUTO_SAFE	FIX	FIX
dstnet	25	district	SONNET_FIX	FIX	KEEP
eable	25	enable	AUTO_SAFE	FIX	FIX
eards	25	wards	AUTO_SAFE	FIX	FIX
eeeneeeeeee	25		GARBAGE_FLAG	GARBAGE	GARBAGE
exnended	25	expended	SONNET_FIX	FIX	FIX
ficial	25	official	AUTO_SAFE	FIX	FIX
fitate	25	state	SONNET_FIX	FIX	FIX
flushometer	25		KEEP	KEEP	FIX
francisen	25	Francisco	SONNET_NAME	NAME	NAME
furbearing	25		KEEP	KEEP	FIX
ilarbor	25	harbor	SONNET_FIX	FIX	FIX
indorsee	25		KEEP	KEEP	FIX
iret	25		GARBAGE_FLAG	GARBAGE	GARBAGE
kelloggvoorhis	25	Kellogg-Voorhis	SONNET_NAME	NAME	NAME
knopki	25	Knopki	SONNET_NAME	NAME	NAME
nisene	25	Nisene	SONNET_NAME	NAME	NAME
nondiagnostic	25		KEEP	KEEP	GARBAGE
nonearthen	25		KEEP	KEEP	GARBAGE
nonforwardable	25		KEEP	KEEP	GARBAGE
nonprivileged	25		KEEP	KEEP	FIX
offhighway	25	off-highway	SONNET_FIX	FIX	GARBAGE
panama-pacifie	25	panama-pacific	SONNET_FIX	FIX	GARBAGE
phenazocine	25		KEEP	KEEP	FIX
plaus	25	plans	SONNET_FIX	FIX	GARBAGE
pohce	25	police	SONNET_FIX	FIX	GARBAGE
pubbeation	25	publication	SONNET_FIX	FIX	GARBAGE
sbali	25	shall	SONNET_FIX	FIX	NAME
serip	25	scrip	AUTO_SAFE	FIX	FIX
sinsheimer	25	Sinsheimer	SONNET_NAME	NAME	NAME
stepb	25	step	AUTO_SAFE	FIX	FIX
subgrants	25		KEEP	KEEP	GARBAGE
subregistrar	25		KEEP	KEEP	GARBAGE
therchy	25	thereby	SONNET_FIX	FIX	GARBAGE
thirty-cighth	25	thirty-eighth	SONNET_FIX	FIX	GARBAGE
tted	25		GARBAGE_FLAG	GARBAGE	KEEP
uation	25	situation	SONNET_FIX	FIX	GARBAGE
watergates	25		KEEP	KEEP	NAME
wuenrras	25	whereas	SONNET_FIX	FIX	GARBAGE
aguanga	24	Aguanga	SONNET_NAME	NAME	NAME
allcounty	24		KEEP	KEEP	FIX
anileridine	24		KEEP	KEEP	GARBAGE
appropra	24		GARBAGE_FLAG	GARBAGE	GARBAGE
cightoon	24	eighteen	SONNET_FIX	FIX	GARBAGE
cless	24	class	SONNET_FIX	FIX	FIX
compotent	24	competent	AUTO_SAFE	FIX	FIX
delnery	24	delivery	SONNET_FIX	FIX	GARBAGE
disincorporating	24		KEEP	KEEP	KEEP
eeeeeeeeeeeeeeee	24		GARBAGE_FLAG	GARBAGE	GARBAGE
eeneeeee	24		GARBAGE_FLAG	GARBAGE	GARBAGE
eeneneeeeereees	24		GARBAGE_FLAG	GARBAGE	GARBAGE
emment	24	government	SONNET_FIX	FIX	NAME
excludible	24		KEEP	KEEP	GARBAGE
famihes	24	families	SONNET_FIX	FIX	GARBAGE
fective	24	effective	SONNET_FIX	FIX	GARBAGE
hghting	24	lighting	AUTO_SAFE	FIX	FIX
innd	24	and	SONNET_FIX	FIX	KEEP
isomethadone	24		KEEP	KEEP	GARBAGE
jation	24	nation	AUTO_SAFE	FIX	FIX
levorphanol	24		KEEP	KEEP	KEEP
llagas	24	Llagas	SONNET_NAME	NAME	NAME
maiter	24	matter	AUTO_SAFE	FIX	FIX
mtended	24	intended	SONNET_FIX	FIX	FIX
multiphed	24	multiplied	SONNET_FIX	FIX	GARBAGE
nardino	24	Bernardino	SONNET_NAME	NAME	NAME
neld	24	held	AUTO_SAFE	FIX	FIX
nonrenewed	24		KEEP	KEEP	FIX
nonseverely	24		KEEP	KEEP	FIX
phenylcyclohexyl	24		KEEP	KEEP	GARBAGE
piminodine	24		KEEP	KEEP	GARBAGE
preproject	24		KEEP	KEEP	GARBAGE
riod	24	period	SONNET_FIX	FIX	KEEP
staic	24	static	AUTO_SAFE	FIX	FIX
tiguous	24	contiguous	SONNET_FIX	FIX	GARBAGE
timpany	24	tympany	AUTO_SAFE	FIX	FIX
tuted	24	constituted	SONNET_FIX	FIX	FIX
wnere	24	where	AUTO_SAFE	FIX	FIX
wuenrsas	24	whereas	SONNET_FIX	FIX	GARBAGE
appheants	23	applicants	SONNET_FIX	FIX	GARBAGE
appheatio	23	application	SONNET_FIX	FIX	GARBAGE
bezitramide	23		KEEP	KEEP	KEEP
buspool	23		KEEP	KEEP	GARBAGE
cludes	23	includes	SONNET_FIX	FIX	FIX
cuoar	23		GARBAGE_FLAG	GARBAGE	GARBAGE
decom	23	decompose	SONNET_FIX	FIX	GARBAGE
delaveaga	23	De La Veaga	SONNET_NAME	NAME	NAME
deputyships	23		KEEP	KEEP	GARBAGE
determinec	23	determined	AUTO_SAFE	FIX	FIX
devisadero	23	Divisadero	SONNET_NAME	NAME	NAME
devree	23	degree	AUTO_SAFE	FIX	FIX
disposa	23	disposal	AUTO_SAFE	FIX	FIX
eeneneeee	23		GARBAGE_FLAG	GARBAGE	GARBAGE
eenes	23		GARBAGE_FLAG	GARBAGE	GARBAGE
fayor	23	favor	SONNET_FIX	FIX	FIX
forty-cighth	23	forty-eighth	AUTO_SAFE	FIX	FIX
governmg	23	governing	AUTO_SAFE	FIX	FIX
hereinahove	23	hereinabove	SONNET_FIX	FIX	GARBAGE
hydroxy-nordihydromorphinone	23		KEEP	KEEP	KEEP
navable	23	navigable	SONNET_FIX	FIX	GARBAGE
nember	23	member	AUTO_SAFE	FIX	FIX
niehouse	23	Niehouse	SONNET_NAME	NAME	NAME
nonmonetized	23		KEEP	KEEP	KEEP
nonqualifying	23		KEEP	KEEP	KEEP
oblberg	23	Oblberg	SONNET_NAME	NAME	NAME
perlette	23	Perlette	SONNET_NAME	NAME	FIX
providea	23	provided	AUTO_SAFE	FIX	FIX
redrilled	23		KEEP	FIX	FIX
rehabili	23	rehabilitate	SONNET_FIX	FIX	GARBAGE
represa	23	Represa	SONNET_NAME	NAME	FIX
rerecordation	23		KEEP	KEEP	GARBAGE
resubmittal	23		KEEP	KEEP	FIX
rnore	23	more	SONNET_FIX	FIX	FIX
seeree	23		GARBAGE_FLAG	GARBAGE	GARBAGE
sirth	23	sixth	AUTO_SAFE	FIX	FIX
sixty-threc	23	sixty-three	AUTO_SAFE	FIX	FIX
strohecker	23	Strohecker	SONNET_NAME	NAME	NAME
thirty-siath	23	thirty-sixth	AUTO_SAFE	FIX	FIX
tirey	23	Tirey	SONNET_NAME	NAME	KEEP
veyance	23	conveyance	SONNET_FIX	FIX	FIX
accumu	22	accumulate	SONNET_FIX	FIX	FIX
adupt	22	adopt	AUTO_SAFE	FIX	FIX
alphaprodine	22		KEEP	KEEP	NAME
annuni	22		GARBAGE_FLAG	GARBAGE	FIX
assoon	22		GARBAGE_FLAG	GARBAGE	GARBAGE
ccecee	22		GARBAGE_FLAG	GARBAGE	GARBAGE
ceeeeeeeeeee	22		GARBAGE_FLAG	GARBAGE	GARBAGE
chetcuti	22	Chetcuti	SONNET_NAME	NAME	NAME
craprer	22		GARBAGE_FLAG	GARBAGE	FIX
cusanovich	22	Cusanovich	SONNET_NAME	NAME	NAME
dextrorphan	22		KEEP	KEEP	NAME
erypt	22	crypt	AUTO_SAFE	FIX	FIX
felando	22	Felando	SONNET_NAME	NAME	NAME
foothill-deanza	22	Foothill-DeAnza	SONNET_NAME	NAME	NAME
heisinger	22	Heisinger	SONNET_NAME	NAME	NAME
hourd	22	hour	SONNET_FIX	FIX	FIX
huichica	22	Huichica	SONNET_NAME	NAME	NAME
inbor	22	labor	SONNET_FIX	FIX	KEEP
isonipecaine	22		KEEP	KEEP	NAME
lowincome	22	low-income	SONNET_FIX	FIX	FIX
mvolving	22	involving	SONNET_FIX	FIX	FIX
nonamortized	22		KEEP	KEEP	NAME
nonstakes	22		KEEP	KEEP	GARBAGE
pizzutello	22	Pizzutello	SONNET_NAME	NAME	NAME
poundkeepers	22		KEEP	KEEP	KEEP
prelimi	22	preliminary	SONNET_FIX	FIX	FIX
rapozo	22	Rapozo	SONNET_NAME	NAME	FIX
recla	22		GARBAGE_FLAG	GARBAGE	GARBAGE
seald	22	sealed	AUTO_SAFE	FIX	FIX
siaty-three	22	sixty-three	AUTO_SAFE	FIX	FIX
slature	22	legislature	SONNET_FIX	FIX	FIX
slong	22	along	AUTO_SAFE	FIX	FIX
subcounty	22		KEEP	KEEP	GARBAGE
sxcrron	22	Sxcrron	SONNET_NAME	NAME	FIX
taxley	22	Taxley	SONNET_NAME	NAME	FIX
terested	22	interested	AUTO_SAFE	FIX	FIX
thuse	22	those	AUTO_SAFE	FIX	FIX
tillermen	22		KEEP	KEEP	KEEP
tioner	22	petitioner	SONNET_FIX	FIX	GARBAGE
tuffree	22		GARBAGE_FLAG	GARBAGE	GARBAGE
tvne	22	type	SONNET_FIX	FIX	FIX
zoveinot	22		GARBAGE_FLAG	GARBAGE	NAME
ained	21	obtained	SONNET_FIX	FIX	GARBAGE
anyeles	21	Angeles	SONNET_NAME	NAME	NAME
approprla	21		GARBAGE_FLAG	GARBAGE	GARBAGE
arnum	21	Barnum	SONNET_NAME	NAME	GARBAGE
asacondition	21	as a condition	SONNET_FIX	FIX	GARBAGE
batiquitos	21	Batiquitos	SONNET_NAME	NAME	NAME
behool	21	behoof	SONNET_FIX	FIX	GARBAGE
beneht	21	benefit	SONNET_FIX	FIX	GARBAGE
bitect	21	architect	SONNET_FIX	FIX	FIX
cahtornia	21	California	SONNET_NAME	NAME	NAME
ccccceeee	21		GARBAGE_FLAG	GARBAGE	GARBAGE
comy	21	copy	AUTO_SAFE	FIX	FIX
crection	21	erection	SONNET_FIX	FIX	FIX
cuaprerr	21		GARBAGE_FLAG	GARBAGE	GARBAGE
cytotechnologists	21		KEEP	KEEP	GARBAGE
dextropropoxyphene	21		KEEP	KEEP	GARBAGE
dinary	21	ordinary	SONNET_FIX	FIX	FIX
eecee	21		GARBAGE_FLAG	GARBAGE	FIX
eeeeeeeeeeeees	21		GARBAGE_FLAG	GARBAGE	GARBAGE
eeeeneeee	21		GARBAGE_FLAG	GARBAGE	GARBAGE
eightytwo	21		KEEP	KEEP	KEEP
elijo	21	Elijo	SONNET_NAME	NAME	NAME
eome	21	come	SONNET_FIX	FIX	FIX
fendant	21	defendant	SONNET_FIX	FIX	FIX
ficate	21	certificate	SONNET_FIX	FIX	GARBAGE
gompensa	21	compensation	SONNET_FIX	FIX	NAME
hicle	21	vehicle	SONNET_FIX	FIX	GARBAGE
hsted	21	listed	SONNET_FIX	FIX	FIX
ioint	21	joint	AUTO_SAFE	FIX	FIX
islative	21	legislative	SONNET_FIX	FIX	FIX
metazocine	21		KEEP	KEEP	GARBAGE
msurers	21	insurers	SONNET_FIX	FIX	FIX
mudsuckers	21		KEEP	KEEP	GARBAGE
nondepositary	21		KEEP	KEEP	GARBAGE
nonelderly	21		KEEP	KEEP	GARBAGE
nonformulary	21		KEEP	KEEP	GARBAGE
nonovertime	21		KEEP	KEEP	GARBAGE
